job_id,job_title,job_category,company,city,experience,exp_min,exp_max,exp_bucket,skills,skill_count,posted_date,job_url,scraped_at
37475c77fa06,Data Scientist,Data Scientist,Cisco,Bangalore,7-10 Yrs,7.0,10.0,6-10 Years (Senior),Computer Science | Data Analysis | Data Science | Supply Chain Operations | Data Visualization | Customer Engagement | Cisco | Analytics,8,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-cisco-bengaluru-7-to-10-years-270326504991,2026-06-03T20:30:52.099387
dd76ee98b24f,Advanced Data Scientist,Data Scientist,Exxon Mobil Corporation,Bangalore,5-10 Yrs,5.0,10.0,3-5 Years (Mid),Supply Chain | Data Science | Aerospace | Machine Learning | Agile | Monitoring | Analytics | Python,8,3+ weeks ago,https://www.naukri.com/job-listings-advanced-data-scientist-exxon-mobil-corporation-bengaluru-5-to-10-years-090426502372,2026-06-03T20:30:52.102657
4a360977ed42,"Data Scientist, Google Play, Product",Data Scientist,Google,Bangalore,5-10 Yrs,5.0,10.0,3-5 Years (Mid),Product Management | Prototype | Data Science | Coding | Machine Learning | Mathematics | Statistics | Analytics,8,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-google-play-product-google-india-private-limited-bengaluru-5-to-10-years-090725503329,2026-06-03T20:30:52.137259
39340e256273,Machine Learning Data Scientist,Data Scientist,Hsbc,Bangalore,3-7 Yrs,3.0,7.0,3-5 Years (Mid),Python | Data Analysis | Data Domain | Vertex | Data Processing | Google | Anomaly Detection | Machine Learning,8,3+ weeks ago,https://www.naukri.com/job-listings-machine-learning-data-scientist-hsbc-electronic-data-processing-india-pvt-ltd-bengaluru-3-to-7-years-191225503735,2026-06-03T20:30:52.139432
ed0beaa622ba,Sr Data Scientist - Advanced Machine Learning,Data Scientist,Target,Bangalore,4-9 Yrs,4.0,9.0,3-5 Years (Mid),Supply Chain | Computer Science | Business Process | Data Analysis | Machine Learning | Network Security | Data Structures | Troubleshooting,8,3+ weeks ago,https://www.naukri.com/job-listings-sr-data-scientist-advanced-machine-learning-target-corporation-india-pvt-ltd-bengaluru-4-to-9-years-100226503258,2026-06-03T20:30:52.140484
278aeeb95a63,Data Scientist - Service Parts Supply Chain,Data Scientist,Philips,Bangalore,10-15 Yrs,10.0,15.0,6-10 Years (Senior),Supply Chain | Supply Chain Management | Erp | Performance Management | Project Management | Process Improvement | Business Analytics | Healthcare,8,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-service-parts-supply-chain-philips-india-limited-bengaluru-10-to-15-years-020426508504,2026-06-03T20:30:52.142508
55e541de11db,Data Scientist Cyber Threat Intelligence,Data Scientist,A.P. Moller Maersk,Bangalore,5-10 Yrs,5.0,10.0,3-5 Years (Mid),Automation | Relationship Building | Data Quality | Continuous Improvement | Security Operations | Forecasting | Operations | Auditing,8,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-cyber-threat-intelligence-maersk-global-service-centres-india-pvt-ltd-bengaluru-5-to-10-years-240226503494,2026-06-03T20:30:52.143484
10e831d503da,AI Data Scientist / AI Evaluation Specialist,Data Scientist,Zensar,Bangalore,4-8 Yrs,4.0,8.0,3-5 Years (Mid),Training | Data Science | Analytical | Programming | Data Analytics | Data Visualization | Statistics | Python,8,3+ weeks ago,https://www.naukri.com/job-listings-ai-data-scientist-ai-evaluation-specialist-zensar-technologies-bengaluru-4-to-8-years-150426503927,2026-06-03T20:30:52.144503
0578613db650,Data Scientist/ Machine Learning Engineer,ML Engineer,Hitachi Energy,Bangalore,5-8 Yrs,5.0,8.0,3-5 Years (Mid),Usage | Neural Networks | Focus | Machine Learning | Programming | Transformers | NLP | Data Privacy,8,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-machine-learning-engineer-hitachi-energy-bengaluru-5-to-8-years-010526502483,2026-06-03T20:30:52.146503
acfa830b6e91,Data Scientist,Data Scientist,Maruti Suzuki,Bangalore,4-7 Yrs,4.0,7.0,3-5 Years (Mid),Cloud Computing | Data Analysis | Machine Learning | Data Processing | Telematics | Engineering Design | Data Visualization | Automotive,8,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-maruti-suzuki-india-limited-bengaluru-4-to-7-years-211125502671,2026-06-03T20:30:52.147503
546b96576a6d,"Staff Data Scientist, Ads Insights and Measurement",Data Scientist,Google,Bangalore,8-13 Yrs,8.0,13.0,6-10 Years (Senior),Data Analysis | Bidding | Coding | Analytical | Data Structures | Matlab | Analytics | Brand Building,8,3+ weeks ago,https://www.naukri.com/job-listings-staff-data-scientist-ads-insights-and-measurement-google-india-private-limited-bengaluru-8-to-13-years-090725503487,2026-06-03T20:30:52.148503
2fcc025a47e7,Data Scientist,Data Scientist,Movate Technologies,Bangalore,5-8 Yrs,5.0,8.0,3-5 Years (Mid),Artificial Intelligence | Machine Learning | Python | Data | Intelligence | Machine,6,2 weeks ago,https://www.naukri.com/job-listings-data-scientist-movate-technologies-bengaluru-5-to-8-years-230326015841,2026-06-03T20:30:52.150503
90e6b011b9e8,AI / ML Data Scientist I,Data Scientist,Nielsen Sports,Bangalore,0-3 Yrs,0.0,3.0,0-2 Years (Fresher),Cloud Computing | Operations Research | Automation | Primary Research | Data Science | Machine Learning | Jira | Statistics,8,Few hours ago,https://www.naukri.com/job-listings-ai-ml-data-scientist-i-nielsen-sports-bengaluru-0-to-3-years-030626504161,2026-06-03T20:30:52.152486
746eecfb2f4e,Data Scientist,Data Scientist,Rolls-Royce,Bangalore,Not Specified,,,Not Specified,,0,Starts in 1-3 months,https://www.naukri.com/job-listings-data-scientist-rolls-royce-india-private-ltd-bengaluru-3-to-8-years-030626504364,2026-06-03T20:30:52.153484
e26b8cb3372e,Data Scientist - 23 Feb (Sat)-Weekend Virtual Interview - Pan India,Data Scientist,Tata Consultancy Services,India,6 Yrs,6.0,6.0,6-10 Years (Senior),Data Science | Python | SQL | Machine Learning | Science | Interviewing | Sat | Machine,8,1 day ago,https://www.naukri.com/job-listings-data-scientist-23-feb-sat-weekend-virtual-interview-pan-india-tata-consultancy-services-bengaluru-delhi-ncr-india-6-to-6-years-210526004106,2026-06-03T20:30:52.156457
48baa14548c5,Data Scientist-Artificial Intelligence,Data Scientist,IBM,Bangalore,3-7 Yrs,3.0,7.0,3-5 Years (Mid),Data Scientist | Python | Ai Solutions | Ai Frameworks | Ai | Cloud Platforms | Machine Learning | Artificial Intelligence,8,Few hours ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-030626928132,2026-06-03T20:30:52.158484
c2155c81b14e,Data Scientist- Gen AI,Data Scientist,Fractal Analytics,Noida,1-6 Yrs,1.0,6.0,0-2 Years (Fresher),Computer Vision | Git | GCP | Analytical | Django | Software Development Life Cycle | Workflow | Application Development,8,1 day ago,https://www.naukri.com/job-listings-data-scientist-gen-ai-fractal-analytics-ltd-noida-mumbai-hyderabad-pune-chennai-gurugram-bengaluru-1-to-6-years-020626500303,2026-06-03T20:30:52.159484
a289f06c328b,Data Scientist (ML/AI),Data Scientist,Philips,Bangalore,5-10 Yrs,5.0,10.0,3-5 Years (Mid),Time Series Analysis | Python | Scikit-learn | Mathematics | Azure | Machine Learning | Artificial Intelligence | SQL,8,1 day ago,https://www.naukri.com/job-listings-data-scientist-ml-ai-philips-india-limited-bengaluru-5-to-10-years-020626502504,2026-06-03T20:30:52.160506
