job_id,job_title,company,location,experience,salary,skills,job_type,posted_date,job_url,scraped_at
37475c77fa06,Data Scientist,Cisco,Bengaluru,7-10 Yrs,,Computer science | Data analysis | data science | Supply chain operations | data visualization | Customer engagement | cisco | Analytics,,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-cisco-bengaluru-7-to-10-years-270326504991,2026-06-03T20:30:52.099387
dd76ee98b24f,Advanced Data Scientist,Exxon Mobil Corporation,Bengaluru,5-10 Yrs,,Supply chain | data science | Aerospace | Machine learning | Agile | Monitoring | Analytics | Python,,3+ weeks ago,https://www.naukri.com/job-listings-advanced-data-scientist-exxon-mobil-corporation-bengaluru-5-to-10-years-090426502372,2026-06-03T20:30:52.102657
8d56a1bdff39,Data Engineer 2,,,,,,,,https://www.naukri.com,2026-06-03T20:30:52.104619
4a360977ed42,"Data Scientist, Google Play, Product",Google,Bengaluru,5-10 Yrs,,Product management | Prototype | data science | Coding | Machine learning | Mathematics | Statistics | Analytics,,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-google-play-product-google-india-private-limited-bengaluru-5-to-10-years-090725503329,2026-06-03T20:30:52.137259
39340e256273,Machine Learning Data Scientist,Hsbc,Bengaluru,3-7 Yrs,,python | data analysis | data domain | vertex | data processing | google | anomaly detection | machine learning,,3+ weeks ago,https://www.naukri.com/job-listings-machine-learning-data-scientist-hsbc-electronic-data-processing-india-pvt-ltd-bengaluru-3-to-7-years-191225503735,2026-06-03T20:30:52.139432
ed0beaa622ba,Sr Data Scientist - Advanced Machine Learning,Target,Bengaluru,4-9 Yrs,,Supply chain | Computer science | Business process | Data analysis | Machine learning | Network security | Data structures | Troubleshooting,,3+ weeks ago,https://www.naukri.com/job-listings-sr-data-scientist-advanced-machine-learning-target-corporation-india-pvt-ltd-bengaluru-4-to-9-years-100226503258,2026-06-03T20:30:52.140484
278aeeb95a63,Data Scientist - Service Parts Supply Chain,Philips,Bengaluru,10-15 Yrs,,Supply chain | Supply chain management | ERP | Performance management | Project management | Process improvement | Business analytics | Healthcare,,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-service-parts-supply-chain-philips-india-limited-bengaluru-10-to-15-years-020426508504,2026-06-03T20:30:52.142508
55e541de11db,Data Scientist Cyber Threat Intelligence,A.P. Moller Maersk,Bengaluru,5-10 Yrs,,Automation | Relationship building | Data quality | Continuous improvement | Security operations | Forecasting | Operations | Auditing,,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-cyber-threat-intelligence-maersk-global-service-centres-india-pvt-ltd-bengaluru-5-to-10-years-240226503494,2026-06-03T20:30:52.143484
10e831d503da,AI Data Scientist / AI Evaluation Specialist,Zensar,Bengaluru,4-8 Yrs,,Training | data science | Analytical | Programming | Data analytics | data visualization | Statistics | Python,,3+ weeks ago,https://www.naukri.com/job-listings-ai-data-scientist-ai-evaluation-specialist-zensar-technologies-bengaluru-4-to-8-years-150426503927,2026-06-03T20:30:52.144503
0578613db650,Data Scientist/ Machine Learning Engineer,Hitachi Energy,Bengaluru,5-8 Yrs,,Usage | Neural networks | Focus | Machine learning | Programming | Transformers | Natural language processing | data privacy,,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-machine-learning-engineer-hitachi-energy-bengaluru-5-to-8-years-010526502483,2026-06-03T20:30:52.146503
acfa830b6e91,Data Scientist,Maruti Suzuki,Bengaluru,4-7 Yrs,,Cloud computing | Data analysis | Machine learning | Data processing | Telematics | Engineering Design | data visualization | Automotive,,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-maruti-suzuki-india-limited-bengaluru-4-to-7-years-211125502671,2026-06-03T20:30:52.147503
546b96576a6d,"Staff Data Scientist, Ads Insights and Measurement",Google,Bengaluru,8-13 Yrs,,Data analysis | Bidding | Coding | Analytical | Data structures | MATLAB | Analytics | Brand building,,3+ weeks ago,https://www.naukri.com/job-listings-staff-data-scientist-ads-insights-and-measurement-google-india-private-limited-bengaluru-8-to-13-years-090725503487,2026-06-03T20:30:52.148503
2fcc025a47e7,Data Scientist,Movate Technologies,Hybrid - Bengaluru,5-8 Yrs,,Artificial Intelligence | Machine Learning | Python | Ml | Data | Intelligence | Machine,,2 weeks ago,https://www.naukri.com/job-listings-data-scientist-movate-technologies-bengaluru-5-to-8-years-230326015841,2026-06-03T20:30:52.150503
90e6b011b9e8,AI / ML Data Scientist I,Nielsen Sports,Bengaluru,0-3 Yrs,,Cloud computing | Operations research | Automation | Primary research | data science | Machine learning | JIRA | Statistics,,Few hours ago,https://www.naukri.com/job-listings-ai-ml-data-scientist-i-nielsen-sports-bengaluru-0-to-3-years-030626504161,2026-06-03T20:30:52.152486
746eecfb2f4e,Data Scientist,Rolls-Royce,Bengaluru,,,,,Starts in 1-3 months,https://www.naukri.com/job-listings-data-scientist-rolls-royce-india-private-ltd-bengaluru-3-to-8-years-030626504364,2026-06-03T20:30:52.153484
